game_date,home_team,away_team,predicted_total,actual_total,error
2025-12-29,LAC,DET,231.96834235607318,211,20.96834235607318
2025-12-29,POR,DAL,228.14459505306286,247,-18.855404946937142
2025-12-29,WAS,PHX,235.09920047502476,216,19.09920047502476
2025-12-29,DET,LAC,223.84092615975382,211,12.84092615975382
2025-12-29,SAC,LAL,226.71685531082105,226,0.716855310821046
2025-12-29,OKC,ATL,235.7465654014503,269,-33.25343459854969
2025-12-29,LAL,SAC,229.71240033598,226,3.712400335979993
2025-12-29,SAS,CLE,232.25448456462922,214,18.254484564629223
2025-12-29,CHA,MIL,223.34796164100248,236,-12.652038358997515
2025-12-29,MIL,CHA,224.37606926657628,236,-11.62393073342372
2025-12-29,PHX,WAS,231.77904352007147,216,15.779043520071468
2025-12-29,GSW,BKN,230.7581187227711,227,3.758118722771087
2025-12-29,DEN,MIA,246.02364105396123,270,-23.976358946038772
2025-12-29,ORL,TOR,241.09269069957566,213,28.092690699575655
2025-12-29,MIN,CHI,226.03302769538953,237,-10.966972304610465
2025-12-29,IND,HOU,231.69747827148598,245,-13.302521728514023
2025-12-29,NYK,NOP,238.89569290805898,255,-16.104307091941024
2025-12-29,ATL,OKC,243.77204506982122,269,-25.227954930178782
2025-12-29,CLE,SAS,227.67880264779126,214,13.678802647791258
2025-12-29,DAL,POR,227.83763506182794,247,-19.16236493817206
2025-12-29,TOR,ORL,247.7815037681945,213,34.78150376819451
2025-12-29,CHI,MIN,225.7701622171149,237,-11.229837782885113
2025-12-29,HOU,IND,234.08550852844274,245,-10.914491471557255
2025-12-29,NOP,NYK,244.6614211799017,255,-10.338578820098292
2025-12-29,MIA,DEN,256.61700093340005,270,-13.38299906659995
2025-12-29,BKN,GSW,235.918454295356,227,8.918454295356014
2025-12-30,GSW,BKN,229.58522994686984,227,2.5852299468698448
2025-12-30,PHX,WAS,228.79931952776712,216,12.799319527767125
2025-12-30,MIL,CHA,223.79547557100918,236,-12.204524428990823
2025-12-30,NOP,NYK,246.0216219009872,255,-8.978378099012787
2025-12-30,OKC,ATL,243.6414851721438,269,-25.358514827856197
2025-12-30,POR,DAL,235.96525895792678,247,-11.034741042073222
2025-12-30,HOU,IND,234.66590931601675,245,-10.334090683983248
2025-12-30,CHI,MIN,225.3553756038529,237,-11.644624396147094
2025-12-30,TOR,ORL,237.630886791382,213,24.63088679138201
2025-12-30,MIA,DEN,252.42117674402596,270,-17.578823255974044
2025-12-30,SAS,CLE,226.33528844491735,214,12.335288444917353
2025-12-30,BKN,GSW,230.0153299744721,227,3.0153299744721096
2025-12-30,DAL,POR,237.76355290924658,247,-9.236447090753416
2025-12-30,CLE,SAS,222.79991870706044,214,8.799918707060442
2025-12-30,ATL,OKC,251.62227917301095,269,-17.377720826989048
2025-12-30,DEN,MIA,260.1036313041959,270,-9.896368695804085
2025-12-30,ORL,TOR,232.80665681896176,213,19.806656818961756
2025-12-30,MIN,CHI,229.2455804905272,237,-7.754419509472797
2025-12-30,IND,HOU,242.49582787826574,245,-2.504172121734257
2025-12-30,NYK,NOP,255.44121037561104,255,0.4412103756110355
2025-12-30,WAS,PHX,224.48929885672754,216,8.489298856727544
2025-12-30,CHA,MIL,229.37192939522637,236,-6.628070604773626
2025-12-30,MEM,PHI,226.36200769737042,275,-48.637992302629584
2025-12-30,BOS,UTA,243.6568605835773,248,-4.3431394164227015
2025-12-30,PHI,MEM,234.87634933845987,275,-40.123650661540125
2025-12-30,DET,LAL,229.6632489767377,234,-4.336751023262309
2025-12-30,SAC,LAC,220.96018169702737,221,-0.039818302972634
2025-12-30,UTA,BOS,246.30111405804195,248,-1.6988859419580535
2025-12-30,LAL,DET,225.515870702364,234,-8.484129297636002
2025-12-30,LAC,SAC,217.6621744040422,221,-3.33782559595781
2025-12-31,CHI,NOP,237.02931914635195,252,-14.970680853648048
2025-12-31,SAS,NYK,234.37054949073118,266,-31.62945050926882
2025-12-31,TOR,DEN,241.82995387918737,209,32.82995387918737
2025-12-31,CLE,PHX,220.97676119045832,242,-21.02323880954168
2025-12-31,CHA,GSW,233.88374561470783,257,-23.116254385292166
2025-12-31,LAC,SAC,217.3849801193349,221,-3.615019880665102
2025-12-31,UTA,BOS,247.134050783026,248,-0.865949216974002
2025-12-31,MIL,WAS,228.37174351350228,227,1.371743513502281
2025-12-31,OKC,POR,245.39550970534756,219,26.395509705347564
2025-12-31,LAL,DET,227.99433798870768,234,-6.005662011292316
2025-12-31,MEM,PHI,241.50732909644546,275,-33.49267090355454
2025-12-31,ATL,MIN,244.10985456999052,228,16.109854569990517
2025-12-31,IND,ORL,242.10792144269055,222,20.107921442690554
2025-12-31,PHX,CLE,221.23510892538806,242,-20.76489107461194
2025-12-31,PHI,MEM,248.29770795726125,275,-26.702292042738748
2025-12-31,BOS,UTA,243.38830231605505,248,-4.6116976839449535
2025-12-31,DET,LAL,226.69375364084618,234,-7.306246359153818
2025-12-31,SAC,LAC,217.87780492775693,221,-3.1221950722430734
2025-12-31,GSW,CHA,238.86860144760485,257,-18.131398552395154
2025-12-31,MIN,ATL,251.37315113486724,228,23.373151134867243
2025-12-31,ORL,IND,232.6600587710971,222,10.660058771097113
2025-12-31,POR,OKC,249.80110005290854,219,30.801100052908538
2025-12-31,WAS,MIL,227.427323271915,227,0.427323271914986
2025-12-31,DEN,TOR,234.58194754177953,209,25.581947541779527
2025-12-31,NYK,SAS,247.38830204776053,266,-18.611697952239467
2025-12-31,NOP,CHI,248.69970023813283,252,-3.3002997618671657
2026-01-01,CHI,NOP,245.2265689803861,252,-6.773431019613895
2026-01-01,TOR,DEN,230.16959067105756,209,21.169590671057563
2026-01-01,SAS,NYK,244.58611497344265,266,-21.413885026557352
2026-01-01,UTA,LAC,230.99595200314405,219,11.995952003144055
2026-01-01,OKC,POR,236.29522620960014,219,17.295226209600145
2026-01-01,MIL,WAS,229.1182337832302,227,2.1182337832302096
2026-01-01,LAC,UTA,225.53768228406548,219,6.5376822840654825
2026-01-01,SAC,BOS,233.82672881335975,226,7.82672881335975
2026-01-01,DAL,PHI,240.75053923813292,231,9.750539238132916
2026-01-01,DET,MIA,241.967429017673,230,11.967429017672998
2026-01-01,BOS,SAC,232.3859642502741,226,6.3859642502741
2026-01-01,PHI,DAL,248.82384501060685,231,17.823845010606846
2026-01-01,MIA,DET,247.2705759889754,230,17.270575988975395
2026-01-01,HOU,BKN,228.3893002373513,216,12.389300237351307
2026-01-01,NOP,CHI,250.2119782327244,252,-1.788021767275609
2026-01-01,NYK,SAS,251.47854800331493,266,-14.521451996685073
2026-01-01,DEN,TOR,225.01949658768956,209,16.01949658768956
2026-01-01,BKN,HOU,229.28680732118045,216,13.286807321180447
2026-01-01,POR,OKC,234.17468712750986,219,15.174687127509856
2026-01-01,WAS,MIL,225.26131701291183,227,-1.7386829870881684
2026-01-02,DET,MIA,239.12051773698744,230,9.120517736987438
2026-01-02,DAL,PHI,239.37176014255897,231,8.37176014255897
2026-01-02,SAC,BOS,233.88308166644896,226,7.883081666448959
2026-01-02,LAC,UTA,224.14133877890467,219,5.141338778904668
2026-01-02,LAL,MEM,234.52928932831634,249,-14.470710671683662
2026-01-02,PHX,SAC,227.00072445192384,231,-3.999275548076156
2026-01-02,NOP,POR,237.56821956732,231,6.56821956732
2026-01-02,MIL,CHA,230.62570888362467,243,-12.374291116375332
2026-01-02,CHI,ORL,232.2840031324745,235,-2.71599686752549
2026-01-02,NYK,ATL,243.6963553674505,210,33.69635536745051
2026-01-02,CLE,DEN,228.2886403075151,221,7.288640307515095
2026-01-02,WAS,BKN,222.82075515271586,218,4.820755152715861
2026-01-02,IND,SAS,241.9586878928393,236,5.9586878928392935
2026-01-02,GSW,OKC,234.995250741659,225,9.995250741658992
