game_date,home_team,away_team,predicted_total,actual_total,error,abs_error
2026-01-04,BKN,DEN,224.0422298623477,242,-17.95777013765229,17.95777013765229
2026-01-04,MIA,NOP,238.44108941941928,231,7.441089419419285,7.441089419419285
2026-01-04,WAS,MIN,233.41668602542978,256,-22.583313974570217,22.583313974570217
2026-01-04,SAS,POR,230.26977170281955,225,5.269771702819554,5.269771702819554
2026-01-04,TOR,ATL,233.36888931606023,251,-17.631110683939767,17.631110683939767
2026-01-04,CHI,CHA,236.3297492936035,211,25.3297492936035,25.3297492936035
2026-01-04,GSW,UTA,243.07252343810995,237,6.072523438109954,6.072523438109954
2026-01-04,CLE,DET,235.10149118666683,224,11.101491186666834,11.101491186666834
2026-01-04,LAC,BOS,229.92726870644373,261,-31.072731293556274,31.072731293556274
2026-01-04,DAL,HOU,230.75400616400367,214,16.75400616400367,16.75400616400367
2026-01-04,LAL,MEM,246.25252361583733,234,12.252523615837333,12.252523615837333
2026-01-04,SAC,MIL,231.6478821191473,213,18.64788211914731,18.64788211914731
2026-01-04,PHX,OKC,231.89349651061804,213,18.893496510618036,18.893496510618036
2026-01-04,ORL,IND,234.6341543697843,262,-27.365845630215688,27.365845630215688
2026-01-04,NYK,PHI,236.66716270478344,249,-12.332837295216564,12.332837295216564
2026-01-05,DEN,PHI,237.13971601847624,249,-11.860283981523764,11.860283981523764
2026-01-05,CHA,OKC,227.8665875550966,221,6.866587555096601,6.866587555096601
2026-01-05,GSW,LAC,234.6596829600639,205,29.65968296006389,29.65968296006389
2026-01-05,PHX,HOU,225.58197848701838,197,28.581978487018375,28.581978487018375
2026-01-05,MIL,SAC,225.85192786885244,213,12.851927868852442,12.851927868852442
2026-01-05,MEM,LAL,238.36587898085708,234,4.365878980857076,4.365878980857076
2026-01-05,UTA,POR,231.4562972152196,254,-22.543702784780407,22.543702784780407
2026-01-05,PHX,OKC,226.60814703899484,213,13.608147038994844,13.608147038994844
2026-01-05,ATL,TOR,235.1798745518385,218,17.17987455183851,17.17987455183851
2026-01-05,CHI,BOS,234.68809092754628,216,18.688090927546284,18.688090927546284
2026-01-05,NYK,DET,238.77919008450073,211,27.779190084500726,27.779190084500726
2026-01-06,LAC,GSW,225.97579691104318,205,20.975796911043176,20.975796911043176
2026-01-06,BOS,CHI,235.9358257732325,216,19.935825773232494,19.935825773232494
2026-01-06,DET,NYK,237.05632241166035,211,26.056322411660346,26.056322411660346
2026-01-06,PHI,DEN,241.26220199957146,249,-7.7377980004285405,7.7377980004285405
2026-01-06,POR,UTA,238.3187543454639,254,-15.681245654536099,15.681245654536099
2026-01-06,HOU,PHX,219.87177262105968,197,22.871772621059677,22.871772621059677
2026-01-06,OKC,CHA,231.52526351580212,221,10.525263515802123,10.525263515802123
2026-01-06,TOR,ATL,234.82369913028242,218,16.82369913028242,16.82369913028242
2026-01-06,ORL,WAS,236.05564958650336,232,4.055649586503364,4.055649586503364
2026-01-06,SAS,MEM,244.21936944037057,211,33.21936944037057,33.21936944037057
2026-01-06,MIA,MIN,237.2088412757799,216,21.20884127577989,21.20884127577989
2026-01-06,CLE,IND,239.35037018202405,236,3.350370182024051,3.350370182024051
2026-01-06,DAL,SAC,229.94629410830342,198,31.94629410830342,31.94629410830342
