date,match,actual,pred,lower,upper,uncert,diff,skipped,status
2026-01-14,NOP vs DEN,238,230.90821332176628,203.84331447629822,241.91421873681404,38.07090426051582,7.091786678233717,False,✅ IN RANGE
2026-01-14,MIL vs MIN,245,228.1914801493763,202.8284555217512,247.43904336304294,44.61058784129173,16.808519850623696,True,⚠️ SKIP
2026-01-14,OKC vs SAS,217,217.27128342058387,197.9344873755481,235.9677799439049,38.03329256835681,0.27128342058387034,False,✅ IN RANGE
2026-01-14,LAL vs ATL,257,220.42925979567818,195.3269626026473,247.32225495714087,51.99529235449356,36.57074020432182,True,⚠️ SKIP
2026-01-14,GSW vs POR,216,219.90826960475025,206.22350533468077,250.13143868201044,43.907933347329674,3.908269604750245,True,⚠️ SKIP
2026-01-14,MIA vs PHX,248,223.3526456960223,201.34791268638708,243.97912659969487,42.63121391330779,24.647354303977693,True,⚠️ SKIP
2026-01-14,CHI vs HOU,232,227.4460426270439,204.95543106490322,238.5470515096025,33.59162044469929,4.553957372956091,False,✅ IN RANGE
2026-01-14,PHX vs MIA,248,235.3878098597144,211.18595474598646,246.74364477327566,35.5576900272892,12.612190140285605,False,❌ MISS
2026-01-14,MIN vs MIL,245,231.0024043468486,212.34341854859989,245.00670585016914,32.663287301569255,13.997595653151393,False,✅ IN RANGE
2026-01-14,DEN vs NOP,238,237.4302017407886,208.05697270965234,245.84360822018186,37.78663551052952,0.5697982592114101,False,✅ IN RANGE
2026-01-14,SAS vs OKC,217,217.1408717763717,203.88307500186713,228.9883069619692,25.10523196010206,0.14087177637171067,False,✅ IN RANGE
2026-01-14,ATL vs LAL,257,236.48760961710818,211.5361581059237,256.22377834756355,44.68762024163985,20.512390382891823,True,⚠️ SKIP
2026-01-14,POR vs GSW,216,219.30393026580526,207.94140669100895,237.2594456223526,29.318038931343636,3.3039302658052634,False,✅ IN RANGE
2026-01-15,MEM vs ORL,229,223.85905048926514,203.50238230694896,238.40388492236218,34.90150261541322,5.140949510734856,False,✅ IN RANGE
2026-01-15,WAS vs LAC,224,220.4751923923775,202.44413021584373,237.89468433303315,35.45055411718943,3.524807607622506,False,✅ IN RANGE
2026-01-15,NYK vs SAC,213,225.73772535174612,205.55779209302037,247.05099009802552,41.493198005005155,12.737725351746121,True,⚠️ SKIP
2026-01-15,DEN vs DAL,227,227.01193316075123,207.78154432374336,247.07207785707044,39.29053353332708,0.011933160751226524,False,✅ IN RANGE
2026-01-15,BKN vs NOP,229,223.46339759337113,206.22755623701323,243.32031880523547,37.09276256822224,5.536602406628873,False,✅ IN RANGE
2026-01-15,UTA vs CHI,254,238.17225790464337,213.3501431772675,254.41112609767174,41.06098292040423,15.827742095356626,True,⚠️ SKIP
2026-01-15,CLE vs PHI,240,233.81671619232034,209.58315451248552,251.60710159626944,42.02394708378392,6.183283807679658,True,⚠️ SKIP
